traffic_model,series,forecaster,seed,mae,mse,rmse,smape,dir_acc,count
step,edge,holt_winters,7,0.3032908275455617,0.16509754155930462,0.4063219678522251,98.71366683237092,49.00221729490022,505
step,edge,holt_winters,19,0.31636100730239547,0.16589353444228505,0.4073003000763504,84.95719985738191,54.27251732101617,454
step,edge,holt_winters,42,0.2968399287277342,0.15191943087314677,0.3897684323712565,86.02509983986873,48.655256723716384,438
step,edge,holt_winters,101,0.34013907421974654,0.18568178283981157,0.430908090942618,67.89906452950837,50.995024875621894,413
step,edge,holt_winters,123,0.33287804423737527,0.1922864769961317,0.4385048198094654,83.62454315985966,45.31645569620253,414
step,edge,naive_persistence,7,0.29979548039215687,0.16002124406582244,0.4000265542008711,92.1712035463082,62.5,510
step,edge,naive_persistence,19,0.31542141249092226,0.16483006136787853,0.40599268634776975,87.64489703932789,59.403669724770644,459
step,edge,naive_persistence,42,0.2922559697140707,0.1453128410745152,0.3811992144201181,86.07970104351412,60.869565217391305,443
step,edge,naive_persistence,101,0.3365352840909091,0.17734173845723558,0.4211196248778197,72.62987199708735,59.75308641975309,418
step,edge,naive_persistence,123,0.32466425218774864,0.18458053694453477,0.4296283707397997,83.2259048475465,63.909774436090224,419
step,edge,simple_exp_smooth,7,0.3281113145364768,0.1918032099711232,0.437953433564715,101.38422024632227,60.5726872246696,508
step,edge,simple_exp_smooth,19,0.3608760834407892,0.2166830141371887,0.4654922277946096,87.50276554376812,58.62068965517241,457
step,edge,simple_exp_smooth,42,0.3474894307143531,0.1943717657915595,0.4408761342957447,91.22701501151994,55.8252427184466,441
step,edge,simple_exp_smooth,101,0.40411922827155394,0.2605707038816817,0.5104612657995528,72.8883969929191,53.21782178217822,416
step,edge,simple_exp_smooth,123,0.3824431726346644,0.24554219252462478,0.49552214130614264,87.6572479780726,56.28140703517588,417
step,edge,arima_1_1_0,7,0.2971471142063546,0.16136740003253708,0.4017056136432961,97.33496432124757,54.44444444444444,503
step,edge,arima_1_1_0,19,0.31619788365531926,0.1655881610024308,0.40692525235285015,87.80672755966938,55.68445475638051,452
step,edge,arima_1_1_0,42,0.29653604219287955,0.14757869309378152,0.3841597234143391,89.06824679103784,47.794117647058826,436
step,edge,arima_1_1_0,101,0.3393832054143086,0.179712740795148,0.42392539531755824,73.18507311878601,49.0,411
step,edge,arima_1_1_0,123,0.32685099978724963,0.18723804037548528,0.4327101112471088,86.63671122923185,49.36386768447837,412
step,cloud,holt_winters,7,0.022431950465216868,0.0029119405570098267,0.053962399474169295,169.0373163821026,67.21311475409836,505
step,cloud,holt_winters,19,0.01869958832638619,0.001856188932735974,0.043083511146794595,168.45245606381206,64.55026455026454,454
step,cloud,holt_winters,42,0.018893627042808673,0.0023223702499076794,0.04819097685156091,156.57548687468832,70.0,438
step,cloud,holt_winters,101,0.029574598423434253,0.005481022892748282,0.07403393068551933,169.17749897988713,69.1919191919192,413
step,cloud,holt_winters,123,0.02250727680377352,0.002470890760684557,0.049708055289706884,167.17452673523312,66.66666666666667,414
step,cloud,naive_persistence,7,0.021848989106753813,0.004143231714551295,0.06436794011424705,68.49161493126665,51.075268817204304,510
step,cloud,naive_persistence,19,0.017688670055676592,0.00256548754008451,0.05065064205007188,73.86626004118678,48.67724867724868,459
step,cloud,naive_persistence,42,0.019695055430147983,0.0033124617439228045,0.0575539898175861,69.58661755708344,51.16279069767442,443
step,cloud,naive_persistence,101,0.029376852206273257,0.007018206256018903,0.08377473518918996,83.07094651219688,51.5,418
step,cloud,naive_persistence,123,0.021285253248475206,0.0032711736929168216,0.05719417534082314,85.23616279677925,46.766169154228855,419
step,cloud,simple_exp_smooth,7,0.0215108240394585,0.0027181865340703596,0.05213623053185145,184.34800365867892,74.45652173913044,508
step,cloud,simple_exp_smooth,19,0.017557382712124824,0.0016481979633059466,0.04059800442516783,180.03438626855478,78.3068783068783,457
step,cloud,simple_exp_smooth,42,0.018353041737794843,0.0020303976573301306,0.04505993405820886,180.94403683320257,78.94736842105263,441
