policy,seed,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
edge_only,7,500,100.0,0.0,1.287754611666666,3.7826385833333305,0.2845651375,40.4,1.1199777046640569,0.0,0.40527336825002164,0.322928509458578,0.027581579317035563,0.0,0.0,0.0,313,45.68690095846645,1.438418190894568,187,31.550802139037433,1.0355743961675572
cloud_only,7,500,0.0,100.0,0.8796361995138162,2.43629919137773,0.9573051758076399,18.6,0.0,0.07375545488149597,0.11525159928904147,0.0,0.10405638921081321,0.1013776242661448,0.0,0.0,313,28.115015974440894,1.110028557256773,187,2.6737967914438503,0.4940062103504717
threshold,7,500,81.2,18.8,0.5684929790614776,2.3849052179160344,0.5331707956573787,13.8,0.19264616927592956,0.036047726679712976,0.23700701787214856,0.17966206947162425,0.10480790071725765,0.06040464187866928,0.0,0.0,313,18.849840255591054,0.663011683476368,187,5.347593582887701,0.4102878748804042
reactive,7,500,71.6,28.4,0.5460346156434325,1.7000156276639788,0.36991657370476444,6.6,0.5270206808545336,0.012766695151119807,0.4096476004223586,0.2992087964774951,0.03428551736999082,0.02180623178951946,0.0,0.0,313,9.904153354632587,0.6537980009969359,187,1.0695187165775402,0.36566060700361136
naive_persistence,7,500,70.8,29.2,0.543052128545737,1.6873001722893315,0.37082028189184096,6.4,0.5283732795172863,0.012646790824092195,0.4197147314277681,0.3052358235485975,0.034390758490138285,0.022079672102631006,0.0,0.0,313,9.584664536741213,0.6427415542558444,187,1.0695187165775402,0.376192287651279
arima,7,500,70.6,29.4,0.5437442878129954,1.6873001722893315,0.37094692738524,6.4,0.5297264244944554,0.012547123070232659,0.41997005513193103,0.3050614057403783,0.03388827628706374,0.02186545075016308,0.30192790279736487,0.3050614057403783,313,9.584664536741213,0.6441702953315522,187,1.0695187165775402,0.37565155865091915
predictive,7,500,69.6,30.4,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,0.5261788078930202,0.013002587736464448,0.4226190879624575,0.3049086154598826,0.03447858849305137,0.02247015525114155,0.0,0.0,313,9.584664536741213,0.6416216049640215,187,1.0695187165775402,0.37502153538577454
edge_only,19,500,100.0,0.0,1.401860358333332,3.2740072916666585,0.2778583675,44.8,1.2435364239130424,0.0,0.40727516662736385,0.3312815724637681,0.02980886118608933,0.0,0.0,0.0,361,50.692520775623265,1.5661644194367486,139,29.496402877697843,0.9751426169064743
cloud_only,19,500,0.0,100.0,0.92753673386731,2.554443365142389,1.0265015852314177,21.6,0.0,0.07892383140096618,0.12455845567044471,0.0,0.10429961695183552,0.10399077487922705,0.0,0.0,361,29.6398891966759,1.1215270037390057,139,0.7194244604316546,0.42372027758182657
threshold,19,500,80.6,19.4,0.612043659454032,2.4755233323903276,0.5632905805389534,13.6,0.2257050688405797,0.037938064734299524,0.2640699575374648,0.20933442572463767,0.10463506067424609,0.06008851111111111,0.0,0.0,361,18.282548476454295,0.7085561645573604,139,1.4388489208633093,0.36138888001301406
reactive,19,500,68.4,31.6,0.6019166121669255,1.7003230833333325,0.37225971638479655,8.0,0.6687760824275361,0.010419163768115943,0.4252868902382654,0.314735713768116,0.028962564291498433,0.017650216425120772,0.0,0.0,361,11.0803324099723,0.7077680712135984,139,0.0,0.3270074271608178
naive_persistence,19,500,67.2,32.8,0.595324031505053,1.6177222083333307,0.37521228261971,7.8,0.642346644021739,0.011679517391304349,0.4244800445157459,0.3131772355072464,0.030927209131263143,0.020041522222222226,0.0,0.0,361,10.803324099722992,0.7015248415073406,139,0.0,0.3195075393408386
arima,19,500,67.4,32.6,0.5970642982679892,1.676340354166665,0.37443336789254844,7.8,0.6484514547101448,0.01144675193236715,0.42343367714325814,0.3118323206521739,0.030268573228172425,0.01957872028985507,0.3108079266392911,0.3118323206521739,361,10.803324099722992,0.7039466205489038,139,0.0,0.31947783536575786
predictive,19,500,66.4,33.6,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,0.6335726657608696,0.01195148115942029,0.4259276752197793,0.3132853423913044,0.03084989443254394,0.02034712367149759,0.0,0.0,361,10.249307479224377,0.6928634587302216,139,0.0,0.3171985988692897
