policy,seed,traffic_model,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
edge_only,7,ramped,500,100.0,0.0,1.271072396666666,3.43286564583333,0.2845651375,39.0,1.0732300134408597,0.0,0.3908276176172049,0.3215794813409234,0.026585900633750815,0.0,0.0,0.0,361,45.70637119113574,1.4396910480147729,139,21.58273381294964,0.833149136690647
cloud_only,7,ramped,500,0.0,100.0,0.8372413580191523,2.2840259376691527,0.9000971810608921,17.2,0.0,0.07039156947079907,0.11109108479103019,0.0,0.09958746496320191,0.0970887843137255,0.0,0.0,361,23.822714681440445,0.9919568584218635,139,0.0,0.4354262814336939
threshold,7,ramped,500,81.4,18.6,0.5912483332108402,2.220495134743189,0.5207938593461393,13.8,0.20117270161290327,0.03500635399536158,0.23826377093355475,0.17876759487666033,0.1004026751290582,0.05643585578747628,0.0,0.0,361,17.174515235457065,0.6653927920992132,139,5.0359712230215825,0.398686105450389
reactive,7,ramped,500,68.2,31.8,0.5509825658690056,1.659301190397991,0.3779200302393546,6.6,0.5094873679633144,0.012518225384777567,0.3818303812326922,0.2856819086021506,0.03336654191814934,0.020901056715159183,0.0,0.0,361,9.141274238227147,0.6440698131498845,139,0.0,0.3092235999093133
naive_persistence,7,ramped,500,65.8,34.2,0.5509915985758526,1.6704856383951825,0.3864924906153931,6.4,0.5098435823845667,0.013242541218637993,0.3911402666210999,0.2874107115749525,0.033987023305716485,0.02207006662449926,0.0,0.0,361,8.86426592797784,0.6449690471517732,139,0.0,0.3069206709793967
arima,7,ramped,500,66.0,34.0,0.5524717355897713,1.677926777434499,0.3872781296113923,6.4,0.5090363725490196,0.01317705165507063,0.39017096785675043,0.2863489310562935,0.033666766755813,0.021770457516339867,0.28646226276724673,0.2863489310562935,361,8.86426592797784,0.6473676065324023,139,0.0,0.3060155527819309
predictive,7,ramped,500,65.0,35.0,0.5500906478174181,1.6771720208333327,0.3839291771180507,6.4,0.5093048134092347,0.01377443790849673,0.3904625198519325,0.2874918864642631,0.034906983163871946,0.02307985072738773,0.0,0.0,361,8.86426592797784,0.6446357362356183,139,0.0,0.30454549012698445
edge_only,19,ramped,500,100.0,0.0,1.1229899649999997,2.90701189583333,0.2778583675,35.4,0.9867620277777773,0.0,0.41102448064036895,0.33565655729166666,0.02957295457044602,0.0,0.0,0.0,369,40.37940379403794,1.208012951671183,131,21.374045801526716,0.8834977353689563
cloud_only,19,ramped,500,0.0,100.0,0.8355920639179076,2.3962982777448625,0.9001620725387611,16.6,0.0,0.07625338912037037,0.12357270302650658,0.0,0.1042380705053263,0.10264480925925926,0.0,0.0,369,22.22222222222222,0.9669880774505726,131,0.7633587786259542,0.4654765754175003
threshold,19,ramped,500,80.6,19.4,0.597975500798539,2.3253384597279303,0.5290878101388171,13.6,0.23170211805555554,0.036317236805555556,0.26905444291784364,0.20304982118055556,0.10565409945576884,0.06124474351851852,0.0,0.0,369,17.073170731707318,0.6567696821711789,131,3.816793893129771,0.43236440975652224
