parameter,value,seed,avg_latency,p95_latency,avg_energy,violation_pct,cloud_pct
alpha,0.2,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
alpha,0.2,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
alpha,0.2,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
alpha,0.35,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
alpha,0.35,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
alpha,0.35,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
alpha,0.5,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
alpha,0.5,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
alpha,0.5,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
beta,0.15,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
beta,0.15,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
beta,0.15,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
beta,0.25,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
beta,0.25,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
beta,0.25,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
beta,0.35,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
beta,0.35,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
beta,0.35,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
phi,0.8,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
phi,0.8,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
phi,0.8,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
phi,0.88,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
phi,0.88,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
phi,0.88,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
phi,0.95,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
phi,0.95,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
phi,0.95,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
delta,0.04,7,0.5389041902118138,1.6873001722893315,0.37362477305188074,6.4,31.0
delta,0.04,19,0.5808265939635551,1.5856041041666669,0.3776370414993924,7.2,35.0
delta,0.04,42,0.5630179654371248,1.5416173085150509,0.36702196587296954,5.4,30.8
delta,0.08,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
delta,0.08,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
delta,0.08,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
delta,0.12,7,0.5495506275142548,1.7000156276639788,0.36946902254578,6.6,29.2
delta,0.12,19,0.6039300654014773,1.7003230833333325,0.37328468514939017,8.0,33.8
delta,0.12,42,0.5727545444889144,1.592775109254907,0.3630982794946965,5.4,28.6
w_pair,symmetric (0.60/0.60),7,0.541840525740277,1.6873001722893315,0.37263992295807125,6.4,30.0
w_pair,symmetric (0.60/0.60),19,0.5883662610060278,1.5896304791666656,0.3742168827057509,7.4,33.4
w_pair,symmetric (0.60/0.60),42,0.5693005451020658,1.592775109254907,0.36543861902998703,5.4,29.4
w_pair,paper default (0.75/0.55),7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
w_pair,paper default (0.75/0.55),19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
w_pair,paper default (0.75/0.55),42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
w_pair,aggressive (0.90/0.40),7,0.5416289931143698,1.6873001722893315,0.3730710615881766,6.4,30.6
w_pair,aggressive (0.90/0.40),19,0.5869921885836673,1.5856041041666669,0.37719305735838066,7.2,34.4
w_pair,aggressive (0.90/0.40),42,0.5643113061525121,1.5431974659526277,0.3677728378917195,5.4,30.2
cost_alpha,0.35,7,0.5589203241775358,1.7004476666666664,0.36187346858924885,6.6,29.4
cost_alpha,0.35,19,0.6043136854728223,1.7148413749999998,0.36700729817368855,7.6,34.0
cost_alpha,0.35,42,0.5894671616934424,1.6326291249999996,0.35185399610218676,5.6,27.2
cost_alpha,0.55,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
cost_alpha,0.55,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
cost_alpha,0.55,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
cost_alpha,0.75,7,0.5226776490601536,1.6085881041666663,0.390944377358075,5.8,32.0
cost_alpha,0.75,19,0.5836748089967023,1.590134416666665,0.3854312168391626,7.2,34.2
cost_alpha,0.75,42,0.5461223431631679,1.4818838478564014,0.3798209216935246,5.0,32.4
cost_beta,0.1,7,0.5198694664596978,1.6085881041666663,0.3911989419066972,5.6,33.4
cost_beta,0.1,19,0.5540609752022874,1.5311081874999994,0.39856224705035137,6.0,37.2
cost_beta,0.1,42,0.5266217799379423,1.4384807916666664,0.3949534461228505,4.2,34.8
cost_beta,0.2,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
cost_beta,0.2,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
cost_beta,0.2,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
cost_beta,0.35,7,0.5904416919352773,1.7876878749999998,0.3521698620499142,7.6,25.2
cost_beta,0.35,19,0.6379876878361586,1.8081480208333325,0.35550655665240155,9.0,29.0
cost_beta,0.35,42,0.6319922039875266,1.7856319166666665,0.3327950834346957,7.6,25.4
cost_gamma,0.1,7,0.5621724613179083,1.7316849084937962,0.36008504366127136,6.6,27.0
cost_gamma,0.1,19,0.616715170984402,1.7354523958333332,0.3682468437572621,8.0,31.2
cost_gamma,0.1,42,0.584180238614413,1.6386613749999999,0.35373521402360725,5.6,27.2
cost_gamma,0.25,7,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,30.4
cost_gamma,0.25,19,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,33.6
cost_gamma,0.25,42,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,30.0
cost_gamma,0.4,7,0.5233725838312626,1.6085881041666663,0.3868875678103914,5.8,35.4
cost_gamma,0.4,19,0.5653510034793636,1.5608207500000002,0.4007532883391767,6.4,39.4
cost_gamma,0.4,42,0.5287350777086703,1.440168624999998,0.385574446673861,4.2,34.0
