parameter,value,n_seeds,avg_latency,avg_latency_std,p95_latency,p95_latency_std,avg_energy,avg_energy_std,violation_pct,violation_pct_std,cloud_pct,cloud_pct_std
alpha,0.2,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
alpha,0.35,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
alpha,0.5,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
beta,0.15,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
beta,0.25,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
beta,0.35,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
phi,0.8,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
phi,0.88,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
phi,0.95,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
delta,0.04,3,0.5609162498708312,0.01717915190615655,1.6048405283236828,0.061010404632490786,0.37276126014141425,0.004376391096826705,6.333333333333333,0.7363574011458174,32.266666666666666,1.9344824171395876
delta,0.08,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
delta,0.12,3,0.5754117458015487,0.02227968215429286,1.664371273417406,0.050626288785799806,0.36861732906328887,0.00420196393619161,6.666666666666667,1.0624918300339483,30.53333333333333,2.3228335186912443
w_pair,symmetric (0.60/0.60),3,0.5665024439494569,0.01909682413474131,1.6232352535703012,0.045318925645215995,0.370765141564603,0.003821045428088988,6.400000000000001,0.816496580927726,30.933333333333334,1.7613126418163874
w_pair,paper default (0.75/0.55),3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
w_pair,aggressive (0.90/0.40),3,0.5643108292835164,0.01851944700338854,1.605367247469542,0.06046670636693691,0.372678985612759,0.0038557685250276,6.333333333333333,0.7363574011458174,31.733333333333334,1.892675942210451
cost_alpha,0.35,3,0.5842337237812668,0.01889763594926714,1.6826393888888884,0.0358474971750563,0.36024492095504135,0.006292575861823578,6.599999999999999,0.816496580927726,30.2,2.833137248116771
cost_alpha,0.55,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
cost_alpha,0.75,3,0.5508249337400078,0.025123019307416925,1.5602021228965774,0.055889467102716486,0.3853988386302541,0.004541189472786015,6.0,0.9092121131323905,32.86666666666667,0.9568466729604898
cost_beta,0.1,3,0.5335174071999758,0.01478573803876153,1.5260590277777775,0.06953773532847009,0.3949048783599664,0.0030062529035700157,5.266666666666667,0.771722460186015,35.13333333333333,1.569146972791978
cost_beta,0.2,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
cost_beta,0.35,3,0.6201405279196542,0.021142407632764856,1.7938226041666663,0.010164313820824273,0.34682383404567046,0.010012917173872982,8.066666666666668,0.6599663291074446,26.53333333333333,1.7461067804945065
cost_gamma,0.1,3,0.5876892903055745,0.022404789328315307,1.7019328931090432,0.04476614973452323,0.3606890338140469,0.00593972235378956,6.733333333333333,0.9843215373488936,28.46666666666667,1.9344824171395876
cost_gamma,0.25,3,0.5662961061669768,0.01905640727609725,1.6104766129853318,0.05618390256792707,0.37065799021761076,0.004094890498310008,6.400000000000001,0.816496580927726,31.333333333333332,1.6110727964792773
cost_gamma,0.4,3,0.5391528883397655,0.01865377553914199,1.5365258263888881,0.07087059910214424,0.3910717676078097,0.006866826270008477,5.466666666666666,0.9285592184789413,36.266666666666666,2.288133640230735
