policy,seed,traffic_model,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
edge_only,7,step,500,100.0,0.0,1.287754611666666,3.7826385833333305,0.2845651375,40.4,1.1199777046640569,0.0,0.40541278740309367,0.322928509458578,0.027574339132274212,0.0,0.0,0.0,283,45.936395759717314,1.439605721436984,217,33.17972350230415,1.0897183717357906
cloud_only,7,step,500,0.0,100.0,0.8796361995138162,2.43629919137773,0.9573051758076397,18.6,0.0,0.07375545488149597,0.1152213456598601,0.0,0.10415266982922515,0.1013776242661448,0.0,0.0,283,30.035335689045937,1.1327291755641693,217,3.686635944700461,0.5495656362776415
threshold,7,step,500,81.2,18.8,0.5684929790614777,2.3849052179160344,0.5331707956573787,13.8,0.19264616927592956,0.036047726679712976,0.23698930875099883,0.17966206947162425,0.1048262600050044,0.06040464187866928,0.0,0.0,283,19.434628975265017,0.6788897344032586,217,6.451612903225806,0.42451933038993794
reactive,7,step,500,71.6,28.4,0.5460346156434325,1.7000156276639788,0.36991657370476444,6.6,0.5270206808545336,0.012766695151119807,0.40974270648956324,0.2992087964774951,0.03425865361777221,0.02180623178951946,0.0,0.0,283,10.60070671378092,0.6639960691544966,217,1.3824884792626728,0.39219548502762086
naive_persistence,7,step,500,70.8,29.2,0.543052128545737,1.6873001722893315,0.37082028189184096,6.4,0.5283732795172863,0.012646790824092195,0.4197792868097958,0.3052358235485975,0.034395649271517933,0.022079672102631006,0.0,0.0,283,10.247349823321555,0.6516244952499075,217,1.3824884792626728,0.40145775169191084
arima,7,step,500,70.6,29.4,0.5437442878129954,1.6873001722893315,0.37094692738524,6.4,0.5297264244944554,0.012547123070232659,0.4200343201087762,0.3050614057403783,0.033885430954686886,0.02186545075016308,0.30192794057458433,0.3050614057403783,283,10.247349823321555,0.6532046929767503,217,1.3824884792626728,0.4009917778528911
predictive,7,step,500,69.6,30.4,0.5419131789417573,1.6873001722893315,0.37273414458469406,6.4,0.5261788078930202,0.013002587736464448,0.42268073555818464,0.3049086154598826,0.03446975422018879,0.02247015525114155,0.0,0.0,283,10.247349823321555,0.6514362521640296,217,1.3824884792626728,0.39907894059197335
edge_only,19,step,500,100.0,0.0,1.401860358333332,3.2740072916666585,0.2778583675,44.8,1.2435364239130424,0.0,0.4072751535085123,0.3312815724637681,0.029808837011104795,0.0,0.0,0.0,324,50.30864197530864,1.5543093081275705,176,34.65909090909091,1.121215700757575
cloud_only,19,step,500,0.0,100.0,0.92753673386731,2.554443365142389,1.0265015852314177,21.6,0.0,0.07892383140096618,0.12455835465354506,0.0,0.10431826555938223,0.10399077487922705,0.0,0.0,324,30.864197530864196,1.1324886599679962,176,4.545454545454546,0.5502388699092284
threshold,19,step,500,80.6,19.4,0.612043659454032,2.4755233323903276,0.5632905805389534,13.6,0.2257050688405797,0.037938064734299524,0.26406991279452763,0.20933442572463767,0.1046559614604901,0.06008851111111111,0.0,0.0,324,19.135802469135804,0.7188007793618761,176,3.409090909090909,0.41551350689641
reactive,19,step,500,68.4,31.6,0.6019166121669255,1.7003230833333325,0.37225971638479655,8.0,0.6687760824275361,0.010419163768115943,0.42528686150664397,0.314735713768116,0.028962560107874895,0.017650216425120772,0.0,0.0,324,11.11111111111111,0.7092707647128219,176,2.272727272727273,0.4042873767983432
naive_persistence,19,step,500,67.2,32.8,0.595324031505053,1.6177222083333307,0.37521228261971,7.8,0.642346644021739,0.011679517391304349,0.42448001809345426,0.3131772355072464,0.030922520322606457,0.020041522222222226,0.0,0.0,324,10.802469135802468,0.7037901497211786,176,2.272727272727273,0.39564776842536736
arima,19,step,500,67.4,32.6,0.5970642982679892,1.676340354166665,0.37443336789254844,7.8,0.6484514547101448,0.01144675193236715,0.42343365337065775,0.3118323206521739,0.03026286953035,0.01957872028985507,0.31080796779987113,0.3118323206521739,324,10.802469135802468,0.7052564940648134,176,2.272727272727273,0.39789230146019927
predictive,19,step,500,66.4,33.6,0.5884286276888825,1.5896304791666656,0.3743017267395421,7.4,0.6335726657608696,0.01195148115942029,0.42592764248852544,0.3132853423913044,0.030842722319098577,0.02034712367149759,0.0,0.0,324,10.185185185185185,0.693935540618689,176,2.272727272727273,0.39419999252264776
edge_only,42,step,500,100.0,0.0,1.3641029066666661,3.696842958333329,0.26604310687500005,40.0,1.222917492492492,0.0,0.402484620269366,0.3196235538663664,0.03101547615869262,0.0,0.0,0.0,348,41.37931034482759,1.4501553304597696,152,36.8421052631579,1.1670881469298242
cloud_only,42,step,500,0.0,100.0,0.9213292997372696,2.527396174011355,1.0157269250530965,19.6,0.0,0.0789846403903904,0.1296003825202513,0.0,0.1003988447846952,0.09915294394394396,0.0,0.0,348,24.42528735632184,1.0583357922665024,152,8.552631578947368,0.6076565405256048
threshold,42,step,500,81.0,19.0,0.5988744891139441,2.510778023941551,0.5815015717425002,15.2,0.1878097606981982,0.04169855655655656,0.2295181029378925,0.1797418975225225,0.11340239585249365,0.06455841891891893,0.0,0.0,348,19.54022988505747,0.6774399625916263,152,5.2631578947368425,0.4190009050992507
reactive,42,step,500,71.6,28.4,0.5720697753695425,1.592775109254907,0.3619811634769896,5.4,0.6012709797297296,0.011703227227227227,0.40581676194505384,0.2916052712087087,0.031998962789336755,0.019650697197197198,0.0,0.0,348,6.609195402298851,0.6336831532021091,152,2.6315789473684212,0.4310075682265612
naive_persistence,42,step,500,71.0,29.0,0.5702613570635995,1.592775109254907,0.36441091549569316,5.4,0.5985405930930932,0.01190231081081081,0.40813769262966,0.292854306493994,0.03228383639691001,0.01968679579579579,0.0,0.0,348,6.609195402298851,0.6325684297538849,152,2.6315789473684212,0.4276109537989984
arima,42,step,500,70.8,29.2,0.5680667237709839,1.592775109254907,0.36518852907221017,5.4,0.5973601557807808,0.01196771121121121,0.4076948598141122,0.292363803490991,0.03236071583242922,0.0198175965965966,0.29463263310960186,0.292363803490991,348,6.609195402298851,0.6299241146782879,152,2.6315789473684212,0.4264458551147879
predictive,42,step,500,70.0,30.0,0.5685465118702905,1.5544991874999983,0.36493809932859606,5.4,0.5989103406531531,0.01191043893893894,0.4139481378130212,0.29517224943693693,0.030826706138364995,0.019163294294294295,0.0,0.0,348,6.609195402298851,0.6290732883287549,152,2.6315789473684212,0.42997204997854294
edge_only,101,step,500,100.0,0.0,3.8246544558333544,7.046145000000017,0.298369577625,86.0,3.823530392800339,0.0,0.47178272311147956,0.3772700109387432,0.03453500377133014,0.0,0.0,0.0,382,85.6020942408377,3.839926458333354,118,87.28813559322033,3.7752145833333564
cloud_only,101,step,500,0.0,100.0,1.0737984402629421,2.7360321744095852,1.1791431141688227,24.4,0.0,0.09753022911694512,0.14430698004448664,0.0,0.12135038107675435,0.11546445849907186,0.0,0.0,382,27.74869109947644,1.1708692026399585,118,13.559322033898304,0.7595524129068386
threshold,101,step,500,77.0,23.0,0.723828265029224,2.6410314834576063,0.6805862591184284,16.8,0.25437672633253783,0.05177379315831344,0.2706365904299402,0.2008946857597454,0.13001013363636924,0.08295422036595068,0.0,0.0,382,19.10994764397906,0.7831932777903052,118,9.322033898305085,0.5316466135484353
reactive,101,step,500,63.8,36.2,0.7886985410363259,2.140036270833333,0.46634707244812046,11.6,0.8923181593078756,0.017953703792097587,0.48093292340553834,0.33576153440731904,0.042558253245399066,0.029306740387165207,0.0,0.0,382,13.350785340314136,0.8535928805376731,118,5.932203389830509,0.5786168657014558
naive_persistence,101,step,500,63.4,36.6,0.77277474634991,2.124589504507965,0.465942322468425,11.0,0.863082672036595,0.018850570936091222,0.4834852286084042,0.33635440632458236,0.044296627576580164,0.030453105277114822,0.0,0.0,382,12.565445026178011,0.8363048870936363,118,5.932203389830509,0.5671093754676776
