policy,traffic_model,n_seeds,avg_latency,avg_latency_std,p95_latency,p95_latency_std,avg_energy,avg_energy_std,violation_pct,violation_pct_std,cloud_pct,cloud_pct_std,avg_edge_backlog,avg_edge_backlog_std,avg_cloud_backlog,avg_cloud_backlog_std,edge_pred_mae,edge_pred_mae_std,edge_naive_mae,edge_naive_mae_std,cloud_pred_mae,cloud_pred_mae_std,cloud_naive_mae,cloud_naive_mae_std,arima_pred_mae,arima_pred_mae_std,arima_naive_mae,arima_naive_mae_std,burst_violation_pct,burst_violation_pct_std,burst_avg_latency,burst_avg_latency_std,calm_violation_pct,calm_violation_pct_std,calm_avg_latency,calm_avg_latency_std,total_burst_tasks,total_calm_tasks
edge_only,step,15,1.6111077048888902,0.7096199613043397,4.169337483333333,1.43549626285304,0.2703316550666667,0.011520742281231261,44.86666666666666,14.701957541618585,0.0,0.0,1.465333135601202,0.7475959447940876,0.0,0.0,0.4087065113542611,0.02585889833925519,0.32782095217847773,0.020279927629998803,0.030550695413920432,0.002514818325797412,0.0,0.0,0.0,0.0,0.0,0.0,47.681512118294535,13.902013530223256,1.692991922117281,0.6845288631498632,39.31428700242898,16.927424284121788,1.4466793679849081,0.7658098566350814,5048,2452
cloud_only,step,15,0.9175899849214163,0.052835283137304005,2.5063456607145955,0.11592974757516766,1.0057806858998943,0.0619304682320305,20.16,2.2032702966272653,100.0,0.0,0.0,0.0,0.07828244030021381,0.007875282283917397,0.12765826297959607,0.010508348004224899,0.0,0.0,0.10323611334165013,0.008104328505110656,0.1004787496039356,0.007421165563852931,0.0,0.0,0.0,0.0,27.15367242564097,2.467080809123436,1.0853785993319167,0.03974085781053327,6.070326612645723,2.6795711392991763,0.5772477920400624,0.06217259906967627,5048,2452
threshold,step,15,0.6091382853360195,0.04579709613587035,2.4571006761935754,0.13698849840219768,0.5685526873805814,0.044049506341879825,14.146666666666667,1.6977894124092332,19.333333333333332,1.3479202086506783,0.20422173308564667,0.027122688008362063,0.039968891313449745,0.005176828070577242,0.24065186482839895,0.019377388480403122,0.1839965642590313,0.01427148150834107,0.110354037986011,0.009813055739344967,0.06474553005468707,0.0078443741964991,0.0,0.0,0.0,0.0,18.435955593579855,1.6690154452358126,0.6984573902221096,0.042699319358433796,5.341767664047992,2.7025954080307666,0.42497866340630175,0.04879034834902658,5048,2452
reactive,step,15,0.5948632361568467,0.06617713768288656,1.7435941900617606,0.1577892620687913,0.37853560735057834,0.03195870159250236,7.066666666666667,1.7883574089712106,31.333333333333332,3.5677568427359074,0.6241112995843331,0.1030230760675316,0.012349688616303173,0.0030132948967824423,0.4214192758759879,0.029072988155608836,0.30131097310471056,0.0161844809741627,0.03237058739839654,0.006333728284638728,0.020570028048076172,0.004788212836838787,0.0,0.0,0.0,0.0,9.348017159956065,2.124671574167454,0.6797781593421938,0.061372774210059745,2.4665049419603435,1.790588844611594,0.42092857732617334,0.05789457459975253,5048,2452
naive_persistence,step,15,0.5909858718625178,0.06379391655517296,1.7373130281910234,0.15700824831561525,0.37936065160093657,0.03126855723653502,6.9333333333333345,1.6870750493745743,31.959999999999997,3.66766047138136,0.6162501293250462,0.09976301158825128,0.01279397520762687,0.0029152117526561245,0.42340519836877705,0.02929860998002933,0.3023839077705067,0.01642154418245839,0.03318195189843718,0.005856277041896207,0.02141735698130888,0.0045271889560816415,0.0,0.0,0.0,0.0,9.18963448234231,1.9470468860308758,0.6752419269000253,0.05900088245927296,2.384690048157572,1.807041822145498,0.4180924987785732,0.05571641213797725,5048,2452
arima,step,15,0.5914785328027315,0.0645917461747893,1.7444032349894707,0.1607387927382941,0.3792319942644655,0.03151222086775602,6.946666666666668,1.7196382048429706,32.026666666666664,3.606561920844961,0.6177642390426847,0.10148304052035526,0.012779146326504615,0.0029326671081194825,0.42337166919813374,0.029417613544685525,0.3020073976022236,0.016351971844375056,0.03313144133922953,0.005938649472620187,0.02134145342440286,0.004494523666469448,0.301728860934602,0.016806516780831265,0.3020073976022236,0.016351971844375056,9.20724385811688,1.9921467635485666,0.6758042778427021,0.05987236480060257,2.384690048157572,1.807041822145498,0.41845894106602893,0.05631707243566224,5048,2452
predictive,step,15,0.5870655146529805,0.06193719825758141,1.7218049350691338,0.1548227273207395,0.3817199991690208,0.03166677759817336,6.88,1.5879546593023368,32.68,3.600592543827567,0.6081453071898978,0.09617583505286596,0.013319721136614273,0.003107103360961645,0.42339637748822906,0.02829817487128891,0.3010980977500462,0.015793768501468373,0.034332016177328624,0.006479618534838555,0.022237630084444595,0.0047824703259977544,0.0,0.0,0.0,0.0,9.113683084191399,1.8360482792625719,0.6710574048468106,0.0566502416874613,2.384690048157572,1.807041822145498,0.4148984386583179,0.055356704703586675,5048,2452
edge_only,ramped,15,1.2890942834999999,0.26355295908536086,3.474261440277776,0.7142091271880605,0.2703316550666667,0.011520742281231261,38.36000000000001,6.827083320618452,0.0,0.0,1.132143660732838,0.2748550270647015,0.0,0.0,0.3964786369609392,0.01620317178714015,0.31884455116979216,0.015514756750589512,0.02915476097864243,0.000972064299166515,0.0,0.0,0.0,0.0,0.0,0.0,41.30034291034438,6.994609276829292,1.36316345292446,0.25093055613599363,29.225961252685916,8.361518335579067,1.060961040293947,0.3785731894266684,5699,1801
cloud_only,ramped,15,0.8293274050282193,0.03313756886749474,2.337296523889574,0.08965393574751805,0.891120905343204,0.03648491625885917,15.933333333333334,1.6242605155030465,100.0,0.0,0.0,0.0,0.07382730420458171,0.004222062983490045,0.12182525123218443,0.004061840107231511,0.0,0.0,0.10052367001537185,0.004401526488480134,0.09740553555507371,0.0035632077967440107,0.0,0.0,0.0,0.0,20.61896997610736,2.351045006352754,0.9513347233098969,0.039017592758050855,1.2551546177342834,1.1095026434824804,0.44489599311603517,0.028248354217313653,5699,1801
threshold,ramped,15,0.5700824444504905,0.03312577855346716,2.2855012485981008,0.08581767196363872,0.5198045842676119,0.027511474323252814,12.16,1.231151222772139,19.38666666666667,1.5705059340508358,0.19124667838926257,0.021276598547515718,0.037457660644531154,0.00355638251559487,0.23411965941461774,0.015378326877757895,0.17835334170569475,0.012035059610894806,0.10657458221671462,0.005615679069924275,0.06202551344629695,0.005294404013716834,0.0,0.0,0.0,0.0,15.117673371145715,1.639094944102097,0.6352141971540253,0.04095823289691002,2.818996303316078,1.8034961181637386,0.3644817697913056,0.034120349214312846,5699,1801
